ID,CourseNo,Section,StudentGroup,CourseType,YearSemester
431,CSE3104,C,2,Lab,31
432,CSE3108,C,3,Lab,31
433,CSE3110,C,3,Lab,31
434,CSE3200,A,3,Lab,32
435,CSE3214,A,1,Lab,32
436,CSE3214,A,2,Lab,32
437,CSE3224,A,3,Lab,32
438,CSE3216,A,3,Lab,32
439,CSE3224,B,3,Lab,32
440,CSE3200,B,3,Lab,32
441,CSE3214,B,1,Lab,32
442,CSE3216,B,3,Lab,32
443,CSE3214,B,2,Lab,32
444,CSE4130,A,3,Lab,41
445,CSE4102,A,2,Lab,41
446,CSE4102,A,1,Lab,41
447,CSE4108,A,3,Lab,41
448,CSE4126,A,3,Lab,41
449,CSE4102,B,1,Lab,41
450,CSE4126,B,3,Lab,41
451,CSE4108,B,3,Lab,41
452,CSE4102,B,2,Lab,41
453,CSE4130,B,3,Lab,41
454,CSE4126,C,3,Lab,41
455,CSE4102,C,1,Lab,41
456,CSE4108,C,3,Lab,41
457,CSE4130,C,3,Lab,41
458,CSE4102,C,2,Lab,41
459,CSE4214,A,3,Lab,42
460,CSE4226,A,3,Lab,42
461,CSE4228,A,3,Lab,42
462,CSE4204,A,3,Lab,42
463,CSE4214,B,3,Lab,42
464,CSE4228,B,3,Lab,42
465,CSE4226,B,3,Lab,42
466,CSE4204,B,3,Lab,42
467,CSE2106,A,2,Lab,21
468,CSE3104,B,1,Lab,31
469,CSE2104,A,2,Lab,21
470,CSE2104,A,1,Lab,21
471,CSE2104,B,1,Lab,21
472,CSE2104,B,2,Lab,21
473,CSE2104,C,1,Lab,21
474,CSE2104,C,2,Lab,21
475,freetime,null,null,null,null
476,freetime,null,null,null,null
477,freetime,null,null,null,null
478,freetime,null,null,null,null
479,freetime,null,null,null,null
480,freetime,null,null,null,null
481,freetime,null,null,null,null
482,freetime,null,null,null,null
483,freetime,null,null,null,null
484,freetime,null,null,null,null
485,freetime,null,null,null,null
486,freetime,null,null,null,null
487,freetime,null,null,null,null
488,freetime,null,null,null,null
489,freetime,null,null,null,null
490,freetime,null,null,null,null
491,freetime,null,null,null,null
492,freetime,null,null,null,null
493,freetime,null,null,null,null
494,freetime,null,null,null,null
495,freetime,null,null,null,null
496,freetime,null,null,null,null
497,freetime,null,null,null,null
498,freetime,null,null,null,null
499,freetime,null,null,null,null
500,freetime,null,null,null,null
501,freetime,null,null,null,null
502,freetime,null,null,null,null
503,freetime,null,null,null,null
504,freetime,null,null,null,null
505,freetime,null,null,null,null
506,freetime,null,null,null,null
507,freetime,null,null,null,null
508,freetime,null,null,null,null
509,freetime,null,null,null,null
510,freetime,null,null,null,null
511,freetime,null,null,null,null
512,freetime,null,null,null,null
513,freetime,null,null,null,null
514,freetime,null,null,null,null
515,freetime,null,null,null,null
516,freetime,null,null,null,null
517,freetime,null,null,null,null
518,freetime,null,null,null,null
519,freetime,null,null,null,null
520,freetime,null,null,null,null
521,freetime,null,null,null,null
